ダウンロードした時刻：2026/09/14 06:45:42

,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,八王子,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),天気,天気,天気,降雪(cm),降雪(cm),降雪(cm),積雪(cm),積雪(cm),積雪(cm),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),天気,天気,天気,降雪(cm),降雪(cm),降雪(cm),降雪(cm),積雪(cm),積雪(cm),積雪(cm),積雪(cm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2024/12/22 1:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,7.3,8,1,0,1,8,1,84,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 2:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,8.3,8,1,0,1,8,1,58,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 3:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,8.1,8,1,0,1,8,1,58,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/22 4:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,8.2,8,1,0,1,8,1,51,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 5:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,7.6,8,1,0,1,8,1,54,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 6:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,7.3,8,1,0,1,8,1,56,8,1,1,8,1,0,1,8,1,0,1,8,1
2024/12/22 7:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,6.8,8,1,0,1,8,1,57,8,1,,0,1,0,1,8,1,0,1,8,1
2024/12/22 8:00:00,,1,1,,1,1,,0,1,,0,1,,0,1,,0,1,7.0,8,1,0,1,8,1,56,8,1,,0,1,0,1,8,1,0,1,8,1
